CensusBlockGroup,GEOID1,Condemnations,Declarations_of_Taking,AS_2007,CS_2007,AS_2008,CS_2008,AS_2009,CS_2009,AS_2010,CS_2010,AS_2011,CS_2011,AS_2012,CS_2012,AS_2013,CS_2013,AS_2014,CS_2014,AS_2015,CS_2015,AS_2016,CS_2016,AS_2017,CS_2017,Expected_Change,Actual_Change,CS
8.002,420710008002,3,3,72090,10,79757,7,52572,6,96633,3,61722,9,71780,5,42967,6,84325,4,73970,5,85825,9,74143,7,79328,2053,71
8.003,420710008003,0,0,68738,8,95000,4,69000,2,56054,4,52225,3,62686,7,57500,2,59867,3,42500,3,63500,6,61186,7,75639,-7552,49
8.004,420710008004,5,5,75000,1,2704,1,68900,1,95500,1,35667,3,57900,1,46172,1,40000,1,NA,NA,64447,3,84200,5,82530,9200,18
9.001,420710009001,3,4,61514,7,109103,4,58817,3,NA,NA,77150,2,84950,2,72380,5,166983,6,81233,3,57500,2,66944,9,67690,5430,43
9.002,420710009002,1,1,95401,9,64571,7,48767,3,19300,2,18000,1,49114,7,62071,7,150800,5,127638,8,41422,5,62366,14,104979,-33035,68
9.003,420710009003,1,1,58000,1,54950,2,NA,NA,NA,NA,23000,1,NA,NA,19819,2,NA,NA,55838,8,191400,1,109900,1,63823,51900,16
9.004,420710009004,8,10,97715,10,67208,16,48882,5,107143,11,89368,19,116528,17,111717,18,94358,15,149992,12,79017,18,117058,24,107525,19342,165
10.001,420710010001,6,6,56050,8,56950,2,41100,10,125010,10,51500,9,28814,9,48755,10,59786,7,31997,9,43641,22,53946,23,61677,-2104,119
10.002,420710010002,6,7,66275,6,51980,5,38673,15,124750,9,26500,5,29911,12,55065,10,50134,12,35526,7,47457,14,88924,17,72928,22649,112
10.003,420710010003,3,3,77038,18,62418,7,60467,6,70070,8,59353,6,26500,2,56817,8,45913,8,43988,7,55025,16,93978,18,84772,16940,104
10.004,420710010004,2,2,68408,12,64858,6,63200,4,142095,8,49275,4,75790,5,50714,7,45607,8,46821,12,51455,13,70770,20,75276,2362,99
11.001,420710011001,4,4,73421,6,78187,15,93635,10,222400,10,77812,17,75034,10,66438,12,84002,10,83554,17,113693,14,91972,23,80792,18551,144
11.002,420710011002,2,2,88177,13,79067,20,87531,16,71029,17,82382,10,76683,12,83378,18,91625,19,87926,25,88843,30,89380,31,97030,1203,211
11.003,420710011003,2,2,86459,16,72238,13,96560,5,78287,15,70833,15,60665,10,67895,10,73276,8,68174,13,84616,25,88541,16,95139,2082,146
12.001,420710012001,0,0,91599,17,95600,19,101807,15,94743,14,80933,9,57821,14,81800,8,70141,19,80073,24,90648,23,87022,33,100795,-4577,195
12.002,420710012002,1,1,105353,23,117584,19,132336,25,107801,15,109400,18,97338,28,108791,28,94027,13,105629,36,111663,34,115197,42,115930,9844,281
12.003,420710012003,0,0,101369,16,113323,15,108060,10,118280,5,91989,9,91236,11,94633,20,95076,19,88953,25,108582,28,110300,18,111546,8931,176
12.004,420710012004,0,0,86044,14,95201,14,105033,15,79700,4,82000,9,91522,11,91862,13,72345,10,81427,16,77362,13,113507,27,94683,27463,146
14.001,420710014001,5,5,49437,7,57559,6,45375,4,52948,7,44090,5,43975,6,46400,4,100490,10,48375,8,74575,4,57616,18,54400,8179,79
14.002,420710014002,10,12,46952,10,122433,15,51700,12,58485,13,51677,13,40091,11,46386,19,72261,17,45618,19,74837,27,62683,33,51666,15731,189
14.003,420710014003,11,12,65024,12,85906,16,91041,10,79531,12,57675,8,54277,11,50643,18,66639,14,67493,14,53391,22,93684,22,71552,28660,159
14.004,420710014004,3,5,72831,18,69473,11,60398,6,60458,12,74479,5,54554,13,61197,14,51986,16,60045,18,82489,9,89154,36,80143,16324,158
118.052,420710118052,0,0,62450,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52400,2,79500,2,80000,1,NA,NA,68000,NA,7
147.001,420710147001,10,11,86258,12,53025,12,69033,6,18750,4,41754,12,34673,15,51568,24,78750,14,94088,17,47044,24,47281,34,94918,-38978,174
147.002,420710147002,1,2,112544,9,65302,12,59571,7,59300,3,25456,3,41633,3,68600,5,126645,8,130157,14,37063,8,55938,13,123843,-56605,85
147.003,420710147003,8,10,45518,14,73462,13,64548,13,58400,5,48957,7,41420,5,64963,12,88040,10,39417,14,66138,13,65589,22,50088,20070,128
